_id,Nombre de la presa,Latitud,Longitud,Altitud,Estado,Municipio,Cuenca de disponibilidad,Región hidrológica,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
665117fa22e03d3d869c0c74,"El Niágara, Ags.",21.78,-102.371667,1828,Aguascalientes,Aguascalientes,Presa El Niágara,Lerma Santiago,1837.76,6.528,1836,5.366,1822.48,0.443,8
665117fa22e03d3d869c0c75,"La Codorniz, Ags.",21.9975,-102.676944,1783,Aguascalientes,Calvillo,Río Juchipila 1,Lerma Santiago,2088.57,5.039,2086,4.1,2077.9,2.198,54
665117fa22e03d3d869c0c76,"Media Luna, Ags.",21.8075,-102.788333,1585,Aguascalientes,Calvillo,Río Juchipila 1,Lerma Santiago,1943.4,11.4,1942.45,10.975,1939.72,9.15,83
665117fa22e03d3d869c0c77,"Abelardo L. Rodríguez, Ags.",21.916944,-102.427778,1974,Aguascalientes,Jesús María,Presa El Niágara,Lerma Santiago,2093,2.1,2092.6,2.038,2085.92,1.161,57
665117fa22e03d3d869c0c78,"Derivadora Pabellón, Ags.",22.235,-102.4375,2090,Aguascalientes,Rincón de Romos,Río San Pedro,Lerma Santiago,2022,407.438,2020,358.121,1998.22,37.687,11
665117fa22e03d3d869c0c79,"Cincuenta Aniversario, Ags.",22.188611,-102.464167,2050,Aguascalientes,San José de Gracia,Presa Calles,Lerma Santiago,1832.4,31.695,1828.4,16.188,1828.03,15.123,93
665117fa22e03d3d869c0c7a,"Jocoque, Ags.",22.121667,-102.356944,1970,Aguascalientes,San José de Gracia,Río San Pedro,Lerma Santiago,1621.96,21.196,1619.2,15,1609.32,2.479,17
665117fa22e03d3d869c0c7b,"Plutarco Elías Calles, Ags.",22.141111,-102.417222,2020,Aguascalientes,San José de Gracia,Presa Calles,Lerma Santiago,1890,18.816,1888.88,15.997,1881.77,4.304,27
665117fa22e03d3d869c0c7c,"Emilio López Zamora, B.C.",31.890278,-116.6025,70,Baja California,Ensenada,Ensenada-El Gallo,B.C.Noroeste,822,5.1,820,5.01,815.175,3.019,60
665117fa22e03d3d869c0c7d,"Las Auras, B.C.",32.544722,-116.531667,0,Baja California,Tecate,Tijuana,B.C.Noroeste,125,121.392,115.85,76.9,107.34,43.011,56
665117fa22e03d3d869c0c7e,"Abelardo L. Rodríguez, B.C.",32.444722,-116.908333,120,Baja California,Tijuana,Tijuana,B.C.Noroeste,25.26,6.342,19.89,2.732,21.17,3.336,122
665117fa22e03d3d869c0c7f,"El Carrizo, B.C.",32.479444,-116.696944,495,Baja California,Tijuana,Tijuana,B.C.Noroeste,286.22,44.585,284.7,40.866,278.29,27.046,66
665117fa22e03d3d869c0c80,"Doctor Belisario Domínguez, Chis.",16.401389,-92.778889,520,Chiapas,Acala,Presa Chicoasén,Grijalva-Usumacinta,395,1318.6,392.5,205.98,390.41,164.513,80
665117fa22e03d3d869c0c81,"Juan Sabines, Chis.",15.996389,-92.898611,1550,Chiapas,La Concordia,Presa La Concordia,Grijalva-Usumacinta,539.5,19736.4,533,13169.63,515.57,4559.99,35
665117fa22e03d3d869c0c82,"Ángel Albino Corzo, Chis.",17.446111,-93.458611,50,Chiapas,Ostuacán,Presa Peñitas,Grijalva-Usumacinta,618.27,116.11,612.12,68.15,603.39,27.23,40
665117fa22e03d3d869c0c83,"Manuel Moreno Torres, Chis.",16.941667,-93.100556,710,Chiapas,Osumacinta,Presa Chicoasén,Grijalva-Usumacinta,95.5,578.63,87.4,215.041,85.43,170.016,79
665117fa22e03d3d869c0c84,"Nezahualcóyotl, Chis.",17.178611,-93.598889,192,Chiapas,Tecpatán,Presa Nezahualcóyotl,Grijalva-Usumacinta,188,14056.32,182.5,9317.39,163.03,4032.71,43
665117fa22e03d3d869c0c85,"Ing. Luis L. León, Chih.",28.984444,-105.28,1055,Chihuahua,Aldama,Río Conchos 3,Bravo Conchos,2051.3,102.891,2047.8,79.354,2033.51,14.961,19
665117fa22e03d3d869c0c86,"Piedras Azules, Chih.",27.249167,-105.211111,0,Chihuahua,Allende,Río Parral,Bravo Conchos,1319.1,3192.75,1317,2846.78,1297.98,761.533,27
665117fa22e03d3d869c0c87,"Las Lajas, Chih.",29.88,-107.025833,1565,Chihuahua,Buenaventura,Río del Carmen 1,Cuencas Centrales del Norte,1242.56,477.622,1239.3,333.32,1228.43,81.93,25
665117fa22e03d3d869c0c88,"El Tintero, Chih.",29.5625,-107.384167,1729,Chihuahua,Buenaventura,Río Santa María 2,Cuencas Centrales del Norte,1478.32,7.755,1477,6.528,1475.89,5.6,86
665117fa22e03d3d869c0c89,"Chihuahua, Chih.",28.570556,-106.167778,1900,Chihuahua,Chihuahua,Río Chuviscar,Bravo Conchos,1709.03,216.703,1703,125.075,1686.75,14.761,12
665117fa22e03d3d869c0c8a,"El Rejón, Chih.",28.614722,-106.119444,1480,Chihuahua,Chihuahua,Río Conchos 3,Bravo Conchos,1998.42,13.194,1996.5,8.712,1995.2,6.25,72
665117fa22e03d3d869c0c8b,"Pico del Águila, Chih.",26.546389,-105.254167,0,Chihuahua,Coronado,Río Florido 3,Bravo Conchos,1619,59.843,1616.9,48.276,1611.1,22.963,48
665117fa22e03d3d869c0c8c,"Abraham González, Chih.",28.481667,-107.482778,2020,Chihuahua,Guerrero,Río Yaqui 1,Sonora Sur,1050.5,824.762,1034.8,284.382,1031.89,223.721,79
665117fa22e03d3d869c0c8d,"Francisco I. Madero, Chih.",28.166111,-105.628889,1300,Chihuahua,Rosales,Río San Pedro,Bravo Conchos,1561.62,106.547,1558.7,83.266,1542.04,8.404,10
665117fa22e03d3d869c0c8e,"La Boquilla, Chih.",27.544722,-105.414167,1323,Chihuahua,San Francisco de Conchos,Río Conchos 1,Bravo Conchos,1544.28,35.631,1540.82,23.383,1537.08,13.833,59
665117fa22e03d3d869c0c8f,"Internacional La Amistad, Coah.",29.45,-101.06,355,Coahuila de Zaragoza,Acuña,Río Bravo 5,Bravo Conchos,341.96,22.193,341.74,21.168,339.86,13.878,66
665117fa22e03d3d869c0c90,"El Centenario, Coah.",29.213611,-100.95,325,Coahuila de Zaragoza,Jiménez,Arroyo de las Vacas,Bravo Conchos,261.8,1322.372,259.24,874.1,251.7,143.99,16
665117fa22e03d3d869c0c91,"La Fragua, Coah.",28.82,-100.832222,300,Coahuila de Zaragoza,Jiménez,Río San Rodrigo,Bravo Conchos,303.96,85.38,300.3,47.295,296.39,21.794,46
665117fa22e03d3d869c0c92,"San Miguel, Coah.",29.034167,-100.953889,230,Coahuila de Zaragoza,Jiménez,Río San Diego,Bravo Conchos,336.38,25.711,336.15,24.589,333.4,13.666,56
665117fa22e03d3d869c0c93,"Venustiano Carranza, Coah.",27.515,-100.616111,272,Coahuila de Zaragoza,Juárez,Río Salado,Bravo Conchos,349.03,2707.437,340.46,1769.66,320.275,195.36,11
665117fa22e03d3d869c0c94,"Laguna de Amela, Col.",18.809167,-103.774167,20,Colima,Tecomán,Coahuayana 2,Armería-Coahuayana,7.64,41.3,7.39,38.343,5.72,21.163,55
665117fa22e03d3d869c0c95,"Caboraca, Dgo.",24.538333,-104.810278,0,Durango,Canatlán,Río La Sauceda,Presidio San Pedro,2001.28,57.88,1998.25,45,1991.56,21.951,49
665117fa22e03d3d869c0c96,"Francisco Zarco, Dgo.",25.270833,-103.773611,1200,Durango,Cuencamé,Presa Francisco Zarco,Nazas Aguanaval,1434.1,56.06,1430.2,30.764,1426.09,13.348,43
665117fa22e03d3d869c0c97,"Presidente Guadalupe Victoria, Dgo.",23.961111,-104.753056,1982,Durango,Durango,Río Durango,Presidio San Pedro,1783.39,377.338,1777.9,245.431,1768.16,93.032,38
665117fa22e03d3d869c0c98,"Peña del Águila, Dgo.",24.203889,-104.656667,1896,Durango,Durango,Río La Sauceda,Presidio San Pedro,2001.61,18.766,1999.8,15.08,1989.3,1.95,13
665117fa22e03d3d869c0c99,"Santiago Bayacora, Dgo.",23.874444,-104.675833,1900,Durango,Durango,Río Santiago Bayacora,Presidio San Pedro,1965.94,169.869,1959.01,130.047,1949.32,86.007,66
665117fa22e03d3d869c0c9a,"Los Naranjos, Dgo.",24.613056,-103.306944,1650,Durango,General Simón Bolívar,Presa La Flor,Nazas Aguanaval,1632,4278.541,1620.87,2770.51,1597.93,962.171,35
665117fa22e03d3d869c0c9b,"Santa Elena, Dgo.",24.608333,-103.079722,2480,Durango,General Simón Bolívar,Presa La Flor,Nazas Aguanaval,1934.61,94.617,1931,78.06,1920.02,37.774,48
665117fa22e03d3d869c0c9c,"Ing. Benjamín Ortega Cantero, Dgo.",26.226389,-104.493889,1400,Durango,Hidalgo,Arroyo La India-Laguna Palomas,Mapimi,1210.05,383.16,1208.2,309.24,1201,110.089,36
