#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
210,"Manuel Moreno Torres, Chis.","Chicoasén, Chis.","Frontera Sur","Chiapas","395.000","1318.600","392.500","205.980","390.760","171.158",83
209,"La Codorniz, Ags.","La Codorniz, Ags.","Lerma Santiago PacÃ­fico","Aguascalientes","1837.760","6.528","1836.000","5.366","1822.480","0.443",8
208,"Miguel de la Madrid Hurtado, Oax.","Cerro de Oro, Oax.","Golfo Centro","Oaxaca","70.010","3547.160","64.860","2599.510","56.470","1395.490",54
207,"Cuchillo Solidaridad, N.L.","El Cuchillo, N.L.","RÃ­o Bravo","Nuevo LeÃ³n","166.660","1784.292","162.350","1123.143","154.580","393.523",35
206,"Caboraca, Dgo.","Canoas, Dgo.","PacÃ­fico Norte","Durango","2001.280","57.880","1998.250","45.000","1991.890","22.861",51
205,"Ramón López Velarde, Zac.","Boca del Tesorero, Zac.","Lerma Santiago PacÃ­fico","Zacatecas","2098.160","36.744","2096.000","26.220","2089.750","7.303",28
204,"Manuel Avila Camacho, Pue.","Valsequillo o Balcón del Diablo, Pue.","Balsas","Puebla","2062.000","391.489","2059.020","300.654","2050.300","118.453",39
203,"Basilio Vadillo, Jal.","Las Piedras, Jal.","Lerma Santiago PacÃ­fico","Jalisco","978.970","146.888","974.350","124.750","960.960","72.013",58
202,"El Batán, Qro.","Los Arcos","Lerma Santiago PacÃ­fico","QuerÃ©taro","1905.150","8.042","1902.100","5.791","1886.900","0.432",7
201,"Las Auras, B.C.","","PenÃ­nsula de Baja California","Baja California","822.000","5.100","820.000","5.010","815.131","3.005",60
200,"Abelardo Rodríguez Luján, Son.","Hermosillo, Son.","Noroeste","Sonora","228.400","284.470","226.980","219.520","214.000","0.000",0
199,"Adolfo Ruiz Cortines, Son.","MocÃºzari, Son.","Noroeste","Sonora","145.470","1822.141","138.460","1200.000","97.710","10.262",1
198,"Ing. Benjamín Ortega Cantero, Dgo.","Agua Puerca, Dgo.","Cuencas Centrales del Norte","Durango","1434.100","56.060","1430.200","30.764","1426.090","13.348",43
197,"Alvaro Obregón, Son.","Oviachic, Son.","Noroeste","Sonora","112.200","4478.215","105.500","3023.140","81.590","410.236",14
196,"Cincuenta Aniversario, Ags.","San José de Gracia","Lerma Santiago PacÃ­fico","Aguascalientes","2088.570","5.039","2086.000","4.100","2077.900","2.198",54
195,"Doctor Belisario Domínguez, Chis.","La Angostura, Chis.","Frontera Sur","Chiapas","539.500","19736.400","533.000","13169.630","517.130","5205.300",40
194,"Aristeo Mercado, Mich.","Wilson ,Mich.","Lerma Santiago PacÃ­fico","MichoacÃ¡n de Ocampo","1993.800","28.305","1993.500","25.344","1989.800","2.318",9
193,"Abelardo L. Rodríguez, B.C.","Tijuana, B.C.","PenÃ­nsula de Baja California","Baja California","125.000","121.392","115.850","76.900","107.400","43.220",56
192,"Adolfo López Mateos, Sin.","El Humaya o El Varejonal, Sin.","PacÃ­fico Norte","Sinaloa","183.480","4034.520","176.000","3086.610","132.090","216.072",7
191,"Abraham González, Chih.","Guadalupe, Chih.","Noroeste","Chihuahua","2051.300","102.891","2047.800","79.354","2034.310","17.184",22
190,"Agostitlán, Mich.","Mata de Pinos, Mich.","Balsas","MichoacÃ¡n de Ocampo","2377.840","18.754","2376.600","15.675","2373.310","8.943",57
189,"Aguamilpa Solidaridad, Nay.","Aguamilpa, Nay.","Lerma Santiago PacÃ­fico","Nayarit","232.000","6950.000","222.000","5785.160","195.740","3388.330",59
188,"Agua Caliente, Son.","Dique 10","Noroeste","Sonora","79.600","41.160","79.100","37.580","75.650","17.395",46
187,"Andrés Figueroa, Gro.","Las Garzas, Gro.","Balsas","Guerrero","382.610","133.029","377.000","102.500","360.820","44.170",43
186,"Achimec, Jal.","Vaqueros, Jal.","Lerma Santiago PacÃ­fico","Jalisco","1844.270","12.212","1841.500","7.364","1834.650","0.894",12
185,"Zicuirán, Mich.","La Peña, Mich.","Balsas","MichoacÃ¡n de Ocampo","301.440","47.485","299.000","36.294","293.340","17.041",47
184,"Yosocuta, Oax.","San Marcos Arteaga","Balsas","Oaxaca","1512.550","57.260","1509.700","47.226","1501.130","25.486",54
183,"Villa Victoria, Méx.","Villa Victoria,Méx.","Balsas","Estado de MÃ©xico","2607.500","249.943","2605.500","185.723","2599.520","47.992",26
182,"Valerio Trujano, Gro.","Tepecoacuilco, Gro.","Balsas","Guerrero","842.780","51.727","840.000","31.014","832.670","5.162",17
181,"La Venta, Qro.","La Venta, Qro.","Golfo Norte","QuerÃ©taro","1907.680","3.777","1906.680","2.479","1904.000","0.000",0
180,"José María Morelos, Zac.","La Villita, Zac.","Lerma Santiago PacÃ­fico","Zacatecas","1831.190","11.165","1829.000","9.018","1821.360","3.920",43
179,"José María Morelos y Pavón, Mich.","La Villita, Mich.","Balsas","MichoacÃ¡n de Ocampo","56.730","686.940","51.200","545.930","50.810","535.980",98
178,"Villa Hidalgo, Dgo.","Villa Hidalgo, Dgo.","Cuencas Centrales del Norte","Durango","1729.550","39.555","1726.230","23.080","1721.660","8.852",38
177,"Vicente Guerrero, Tamps.","Las Adjuntas, Tamps.","Golfo Norte","Tamaulipas","144.040","5498.230","140.440","3910.690","125.270","331.760",8
176,"Vicente Guerrero, Gro.","Palos Altos, Gro.","Balsas","Guerrero","430.300","300.000","425.000","249.490","409.880","104.800",42
175,"Ing. Santiago Camarena, Jal.","La Vega, Jal.","Lerma Santiago PacÃ­fico","Jalisco","1258.860","80.000","1257.000","44.035","1255.880","25.710",58
174,"Vicente C. Villaseñor, Jal.","Valle de Juárez, Jal.","Lerma Santiago PacÃ­fico","Jalisco","1878.000","18.120","1877.000","14.440","1875.840","10.316",71
173,"Venustiano Carranza, Coah.","Don Martín, Coah.","RÃ­o Bravo","Coahuila de Zaragoza","261.800","1322.372","259.240","874.100","251.881","152.029",17
172,"Valle de Bravo, Méx.","Valle de Bravo, Méx.","Balsas","Estado de MÃ©xico","1833.000","449.420","1830.000","394.390","1812.060","108.072",27
171,"Urepetiro, Mich.","Urepetiro, Mich.","Lerma Santiago PacÃ­fico","MichoacÃ¡n de Ocampo","1745.680","10.923","1745.000","8.282","1741.790","2.420",29
170,"Taxhimay, Méx.","Taxhimay, Méx.","Aguas del Valle de MÃ©xico","Estado de MÃ©xico","2216.100","47.386","2214.100","39.914","2209.400","23.642",59
169,"Solidaridad, Jal.","Trojes, Jal.","Lerma Santiago PacÃ­fico","Jalisco","301.110","285.742","292.370","203.388","281.210","125.904",62
168,"San Andrés Tepetitlán, Méx.","Tepetitlán,Méx.","Lerma Santiago PacÃ­fico","Estado de MÃ©xico","2594.460","81.029","2592.020","59.966","2587.670","31.307",52
167,"El Tintero, Chih.","El Tintero, Chih.","RÃ­o Bravo","Chihuahua","1709.030","216.703","1703.000","125.075","1686.790","14.863",12
166,"Tercer Mundo, Mich.","Chincua, Mich.","Lerma Santiago PacÃ­fico","MichoacÃ¡n de Ocampo","2428.580","17.332","2427.580","14.972","2422.820","5.933",40
165,"Tampico, Tamps.","Sistema lagunario Chairel","","","1.400","854.000","1.000","676.000","-0.330","129.600",19
164,"Ramón Corona Madrigal General, Jal.","Trigomil, Jal.","Lerma Santiago PacÃ­fico","Jalisco","1209.360","324.000","1201.400","250.000","1181.440","115.671",46
163,"La Muñeca, S.L.P.","La Muñeca, S.L.P.","Golfo Norte","San Luis PotosÃ­","1841.750","31.000","1837.700","24.140","1825.860","5.395",22
162,"El Tigre, Dgo.","El Tigre","Cuencas Centrales del Norte","Durango","1580.120","18.560","1576.920","14.000","1566.160","2.735",20
161,"Tepuxtepec, Mich.","Tepuxtepec, Mich.","Lerma Santiago PacÃ­fico","MichoacÃ¡n de Ocampo","2350.000","537.527","2348.110","449.970","2343.090","256.075",57
160,"Tenango, Pue.","Tenango, Pue.","Golfo Centro","Puebla","1351.400","46.576","1345.600","28.479","1336.010","8.533",30
159,"Revolución Mexicana, Gro.","El Guineo, Gro.","PacÃ­fico Sur","Guerrero","107.590","259.502","94.400","126.694","89.400","91.227",72
158,"La Red, Jal.","La Red, Jal.","Lerma Santiago PacÃ­fico","Jalisco","1794.700","18.300","1792.500","14.250","1786.630","5.560",39
157,"Vicente Aguirre, Hgo.","Las Golondrinas, Hgo.","Aguas del Valle de MÃ©xico","Hidalgo","1855.500","19.685","1854.900","17.799","1844.640","0.432",2
156,"Pucuato, Mich.","Pucuato, Mich.","Balsas","MichoacÃ¡n de Ocampo","2500.000","11.534","2499.000","9.485","2494.140","2.236",24
155,"Pátzcuaro, Mich.","Pátzcuaro, Mich.","","","2042.350","1135.573","2038.570","646.582","2035.420","334.168",52
154,"Derivadora Pabellón, Ags.","Derecha Potrerillos, Ags.","Lerma Santiago PacÃ­fico","Aguascalientes","2093.000","2.100","2092.600","2.038","2085.950","1.164",57
153,"Salinillas, N.L.","Salinillas, N.L.","RÃ­o Bravo","Nuevo LeÃ³n","232.000","19.011","232.000","19.011","230.410","11.886",63
152,"La Purísima, Gto.","La Purísima, Gto.","Lerma Santiago PacÃ­fico","Guanajuato","1860.700","181.926","1853.470","110.000","1843.860","43.349",39
151,"Requena, Hgo.","Requena, Hgo.","Aguas del Valle de MÃ©xico","Hidalgo","2110.300","61.519","2109.000","51.570","2102.820","15.029",29
150,"Javier Rojo Gómez, Hgo.","La Peña, Hgo.","Aguas del Valle de MÃ©xico","Hidalgo","1977.839","43.317","1976.840","39.990","1967.450","18.731",47
149,"Ing. Guillermo Lugo Sanabria, Jal.","La Pólvora, Jal.","Lerma Santiago PacÃ­fico","Jalisco","1665.000","56.150","1663.460","51.675","1647.260","19.290",37
